sweep,sweepTime,elevAngle,value,radialAng,surfaceRan,heightRel,heightASL,latitude,longitude
0,2003-03-27T05:47:11Z,0.48339844,6.5,95.27344,31998.783,336.37875,538.4611,41.5773,-87.7026
0,2003-03-27T05:47:11Z,0.48339844,5.0,95.27344,32998.746,349.0308,551.1132,41.5765,-87.6907
0,2003-03-27T05:47:11Z,0.48339844,9.0,95.27344,33998.707,361.81256,563.89496,41.5756,-87.6787
0,2003-03-27T05:47:11Z,0.48339844,7.5,95.27344,34998.668,374.72403,576.80646,41.5747,-87.6668
0,2003-03-27T05:47:11Z,0.48339844,8.0,95.27344,35998.63,387.76523,589.8476,41.5739,-87.6548
0,2003-03-27T05:47:11Z,0.48339844,2.0,95.27344,36998.594,400.9361,603.0185,41.5730,-87.6429
0,2003-03-27T05:47:11Z,0.48339844,0.5,95.27344,37998.555,414.23672,616.3191,41.5721,-87.6310
0,2003-03-27T05:47:11Z,0.48339844,6.0,95.27344,38998.516,427.66702,629.74945,41.5712,-87.6190
0,2003-03-27T05:47:11Z,0.48339844,0.0,95.27344,39998.477,441.22705,643.30945,41.5704,-87.6071
0,2003-03-27T05:47:11Z,0.48339844,1.5,95.27344,40998.44,454.91678,656.9992,41.5695,-87.5952
0,2003-03-27T05:47:11Z,0.48339844,2.5,95.27344,41998.402,468.73624,670.8186,41.5686,-87.5832
0,2003-03-27T05:47:11Z,0.48339844,1.0,95.27344,42998.363,482.6854,684.76776,41.5677,-87.5713
0,2003-03-27T05:47:11Z,0.48339844,-5.5,95.27344,43998.324,496.76425,698.8467,41.5668,-87.5594
0,2003-03-27T05:47:11Z,0.48339844,-8.0,95.27344,44998.29,510.97284,713.05524,41.5660,-87.5474
0,2003-03-27T05:47:11Z,0.48339844,7.5,96.240234,29998.86,311.46378,513.54614,41.5745,-87.7271
0,2003-03-27T05:47:11Z,0.48339844,9.0,96.240234,30998.82,323.8564,525.9388,41.5735,-87.7152
0,2003-03-27T05:47:11Z,0.48339844,7.5,96.240234,31998.783,336.37875,538.4611,41.5725,-87.7033
0,2003-03-27T05:47:11Z,0.48339844,8.5,96.240234,32998.746,349.0308,551.1132,41.5715,-87.6914
0,2003-03-27T05:47:11Z,0.48339844,8.5,96.240234,33998.707,361.81256,563.89496,41.5705,-87.6794
0,2003-03-27T05:47:11Z,0.48339844,5.5,96.240234,34998.668,374.72403,576.80646,41.5694,-87.6675
0,2003-03-27T05:47:11Z,0.48339844,-1.0,96.240234,35998.63,387.76523,589.8476,41.5684,-87.6556
0,2003-03-27T05:47:11Z,0.48339844,7.0,96.240234,36998.594,400.9361,603.0185,41.5674,-87.6437
0,2003-03-27T05:47:11Z,0.48339844,2.0,96.240234,37998.555,414.23672,616.3191,41.5664,-87.6318
0,2003-03-27T05:47:11Z,0.48339844,-8.5,96.240234,38998.516,427.66702,629.74945,41.5653,-87.6199
0,2003-03-27T05:47:11Z,0.48339844,8.0,96.240234,39998.477,441.22705,643.30945,41.5643,-87.6080
0,2003-03-27T05:47:11Z,0.48339844,3.0,96.240234,40998.44,454.91678,656.9992,41.5633,-87.5961
0,2003-03-27T05:47:11Z,0.48339844,-0.5,96.240234,41998.402,468.73624,670.8186,41.5623,-87.5841
0,2003-03-27T05:47:11Z,0.48339844,7.0,96.240234,42998.363,482.6854,684.76776,41.5612,-87.5722
0,2003-03-27T05:47:11Z,0.48339844,-0.5,96.240234,43998.324,496.76425,698.8467,41.5602,-87.5603
0,2003-03-27T05:47:11Z,0.48339844,8.5,97.25098,29998.86,311.46378,513.54614,41.5698,-87.7279
0,2003-03-27T05:47:11Z,0.48339844,7.5,97.25098,30998.82,323.8564,525.9388,41.5686,-87.7160
0,2003-03-27T05:47:11Z,0.48339844,12.0,97.25098,31998.783,336.37875,538.4611,41.5675,-87.7041
0,2003-03-27T05:47:11Z,0.48339844,7.5,97.25098,32998.746,349.0308,551.1132,41.5663,-87.6922
0,2003-03-27T05:47:11Z,0.48339844,3.0,97.25098,33998.707,361.81256,563.89496,41.5651,-87.6803
0,2003-03-27T05:47:11Z,0.48339844,7.5,97.25098,34998.668,374.72403,576.80646,41.5639,-87.6684
0,2003-03-27T05:47:11Z,0.48339844,7.0,97.25098,35998.63,387.76523,589.8476,41.5627,-87.6565
0,2003-03-27T05:47:11Z,0.48339844,8.5,97.25098,36998.594,400.9361,603.0185,41.5616,-87.6447
0,2003-03-27T05:47:11Z,0.48339844,5.0,97.25098,37998.555,414.23672,616.3191,41.5604,-87.6328
0,2003-03-27T05:47:11Z,0.48339844,4.0,97.25098,38998.516,427.66702,629.74945,41.5592,-87.6209
0,2003-03-27T05:47:11Z,0.48339844,0.0,97.25098,39998.477,441.22705,643.30945,41.5580,-87.6090
0,2003-03-27T05:47:11Z,0.48339844,-5.5,97.25098,40998.44,454.91678,656.9992,41.5568,-87.5971
0,2003-03-27T05:47:11Z,0.48339844,7.0,97.25098,41998.402,468.73624,670.8186,41.5556,-87.5852
0,2003-03-27T05:47:11Z,0.48339844,1.0,97.25098,42998.363,482.6854,684.76776,41.5544,-87.5734
0,2003-03-27T05:47:11Z,0.48339844,2.5,97.25098,43998.324,496.76425,698.8467,41.5533,-87.5615
0,2003-03-27T05:47:11Z,0.48339844,2.5,97.25098,44998.29,510.97284,713.05524,41.5521,-87.5496
0,2003-03-27T05:47:11Z,0.48339844,-7.0,98.21777,29998.86,311.46378,513.54614,41.5653,-87.7287
0,2003-03-27T05:47:11Z,0.48339844,0.0,98.21777,30998.82,323.8564,525.9388,41.5640,-87.7169
0,2003-03-27T05:47:11Z,0.48339844,8.0,98.21777,31998.783,336.37875,538.4611,41.5626,-87.7050
0,2003-03-27T05:47:11Z,0.48339844,8.0,98.21777,32998.746,349.0308,551.1132,41.5613,-87.6931
0,2003-03-27T05:47:11Z,0.48339844,5.0,98.21777,33998.707,361.81256,563.89496,41.5600,-87.6813
0,2003-03-27T05:47:11Z,0.48339844,6.5,98.21777,34998.668,374.72403,576.80646,41.5587,-87.6694
0,2003-03-27T05:47:11Z,0.48339844,10.0,98.21777,35998.63,387.76523,589.8476,41.5573,-87.6576
0,2003-03-27T05:47:11Z,0.48339844,-9.5,98.21777,36998.594,400.9361,603.0185,41.5560,-87.6457
0,2003-03-27T05:47:11Z,0.48339844,7.5,98.21777,37998.555,414.23672,616.3191,41.5547,-87.6339
0,2003-03-27T05:47:11Z,0.48339844,5.0,98.21777,38998.516,427.66702,629.74945,41.5533,-87.6220
0,2003-03-27T05:47:11Z,0.48339844,3.5,98.21777,39998.477,441.22705,643.30945,41.5520,-87.6101
0,2003-03-27T05:47:11Z,0.48339844,5.0,98.21777,40998.44,454.91678,656.9992,41.5507,-87.5983
0,2003-03-27T05:47:11Z,0.48339844,4.0,98.21777,41998.402,468.73624,670.8186,41.5493,-87.5864
0,2003-03-27T05:47:11Z,0.48339844,2.0,98.21777,42998.363,482.6854,684.76776,41.5480,-87.5746
0,2003-03-27T05:47:11Z,0.48339844,-3.5,98.21777,43998.324,496.76425,698.8467,41.5466,-87.5627
0,2003-03-27T05:47:11Z,0.48339844,4.5,98.21777,44998.29,510.97284,713.05524,41.5453,-87.5509
0,2003-03-27T05:47:11Z,0.48339844,-13.0,99.228516,29998.86,311.46378,513.54614,41.5606,-87.7297
0,2003-03-27T05:47:11Z,0.48339844,7.5,99.228516,30998.82,323.8564,525.9388,41.5591,-87.7179
0,2003-03-27T05:47:11Z,0.48339844,6.0,99.228516,31998.783,336.37875,538.4611,41.5576,-87.7060
0,2003-03-27T05:47:11Z,0.48339844,8.0,99.228516,32998.746,349.0308,551.1132,41.5561,-87.6942
0,2003-03-27T05:47:11Z,0.48339844,11.0,99.228516,33998.707,361.81256,563.89496,41.5547,-87.6824
0,2003-03-27T05:47:11Z,0.48339844,0.5,99.228516,34998.668,374.72403,576.80646,41.5532,-87.6706
0,2003-03-27T05:47:11Z,0.48339844,7.5,99.228516,35998.63,387.76523,589.8476,41.5517,-87.6588
0,2003-03-27T05:47:11Z,0.48339844,4.0,99.228516,36998.594,400.9361,603.0185,41.5502,-87.6469
