sweep,sweepTime,elevAngle,value,radialAng,begGateRan,endGateRan,heightRel,heightASL,geom,a,b,c,d
5,2012-04-22T14:50:25Z,3.515625,-5.5,63.484497,73361.89,73611.42,4824.041,4833.185,POLYGON ((-120.92428567894905 38.79895779166696, -120.92171595697363 38.79996261829607, -120.91509863911888 38.78936889438505, -120.91769050470644 38.788400122469234, -120.92428567894905 38.79895779166696))
5,2012-04-22T14:50:25Z,3.515625,0.5,63.484497,73611.42,73860.95,4841.531,4850.675,POLYGON ((-120.92171595697363 38.79996261829607, -120.91914616328584 38.80096738871939, -120.91250670380688 38.79033760911816, -120.91509863911888 38.78936889438505, -120.92171595697363 38.79996261829607))
5,2012-04-22T14:50:25Z,3.515625,1.5,63.484497,73860.95,74110.48,4859.0283,4868.1724,POLYGON ((-120.91914616328584 38.80096738871939, -120.91657629788685 38.80197210293492, -120.9099146987717 38.791306266666595, -120.91250670380688 38.79033760911816, -120.91914616328584 38.80096738871939))
5,2012-04-22T14:50:25Z,3.515625,-0.5,63.484497,74110.48,74360.01,4876.533,4885.677,POLYGON ((-120.91657629788685 38.80197210293492, -120.9140063607775 38.802976760940766, -120.90732262401468 38.79227486702839, -120.9099146987717 38.791306266666595, -120.91657629788685 38.80197210293492))
5,2012-04-22T14:50:25Z,3.515625,4,63.484497,74360.01,74609.54,4894.045,4903.189,POLYGON ((-120.9140063607775 38.802976760940766, -120.91143635195894 38.8039813627348, -120.9047304795371 38.793243410201434, -120.90732262401468 38.79227486702839, -120.9140063607775 38.802976760940766))
5,2012-04-22T14:50:25Z,3.515625,5,63.484497,74609.54,74859.07,4911.5645,4920.7085,POLYGON ((-120.91143635195894 38.8039813627348, -120.90886627143206 38.80498590831503, -120.90213826534018 38.79421189618375, -120.9047304795371 38.793243410201434, -120.91143635195894 38.8039813627348))
5,2012-04-22T14:50:25Z,3.515625,5.5,63.484497,74859.07,75108.6,4929.0913,4938.235,POLYGON ((-120.90886627143206 38.80498590831503, -120.90629611919793 38.80599039767941, -120.89954598142532 38.79518032497335, -120.90213826534018 38.79421189618375, -120.90886627143206 38.80498590831503))
5,2012-04-22T14:50:25Z,3.515625,0.5,63.484497,75108.6,75358.13,4946.625,4955.769,POLYGON ((-120.90629611919793 38.80599039767941, -120.90372589525755 38.806994830825936, -120.8969536277938 38.79614869656826, -120.89954598142532 38.79518032497335, -120.90629611919793 38.80599039767941))
5,2012-04-22T14:50:25Z,3.515625,6.5,63.484497,75358.13,75607.664,4964.1665,4973.3105,POLYGON ((-120.90372589525755 38.806994830825936, -120.90115559961188 38.80799920775263, -120.89436120444691 38.79711701096639, -120.8969536277938 38.79614869656826, -120.90372589525755 38.806994830825936))
5,2012-04-22T14:50:25Z,3.515625,1,63.484497,75607.664,75857.19,4981.7153,4990.8594,POLYGON ((-120.90115559961188 38.80799920775263, -120.898585232262 38.80900352845731, -120.89176871138588 38.79808526816572, -120.89436120444691 38.79711701096639, -120.90115559961188 38.80799920775263))
5,2012-04-22T14:50:25Z,3.515625,7,63.484497,75857.19,76106.72,4999.2715,5008.415,POLYGON ((-120.898585232262 38.80900352845731, -120.89601479320883 38.810007792938094, -120.88917614861217 38.79905346816431, -120.89176871138588 38.79808526816572, -120.898585232262 38.80900352845731))
5,2012-04-22T14:50:25Z,3.515625,0.5,63.484497,76106.72,76356.25,5016.8345,5025.9785,POLYGON ((-120.89601479320883 38.810007792938094, -120.8934442824535 38.81101200119292, -120.88658351612688 38.8000216109601, -120.88917614861217 38.79905346816431, -120.89601479320883 38.810007792938094))
5,2012-04-22T14:50:25Z,3.515625,3.5,63.484497,76356.25,76605.78,5034.4053,5043.5493,POLYGON ((-120.8934442824535 38.81101200119292, -120.8908736999969 38.81201615321976, -120.88399081393149 38.8009896965511, -120.88658351612688 38.8000216109601, -120.8934442824535 38.81101200119292))
5,2012-04-22T14:50:25Z,3.515625,1,63.484497,76605.78,76855.31,5051.9834,5061.1274,POLYGON ((-120.8908736999969 38.81201615321976, -120.88830304584012 38.81302024901662, -120.88139804202721 38.80195772493526, -120.88399081393149 38.8009896965511, -120.8908736999969 38.81201615321976))
5,2012-04-22T14:50:25Z,3.515625,-2.5,63.484497,76855.31,77104.84,5069.569,5078.713,POLYGON ((-120.88830304584012 38.81302024901662, -120.88573231998409 38.81402428858134, -120.87880520041537 38.802925696110634, -120.88139804202721 38.80195772493526, -120.88830304584012 38.81302024901662))
5,2012-04-22T14:50:25Z,3.515625,-8,64.50073,59388.195,59637.727,3856.3035,3865.4475,POLYGON ((-121.06272365758792 38.73405769370298, -121.06013569862405 38.73502966463904, -121.05505422068653 38.726543655304084, -121.05766320342222 38.72560730170557, -121.06272365758792 38.73405769370298))
5,2012-04-22T14:50:25Z,3.515625,-8.5,64.50073,59637.727,59887.258,3873.3828,3882.5269,POLYGON ((-121.06013569862405 38.73502966463904, -121.0575476698639 38.73600157850494, -121.05244517017421 38.727479950900886, -121.05505422068653 38.726543655304084, -121.06013569862405 38.73502966463904))
5,2012-04-22T14:50:25Z,3.515625,-3.5,64.50073,75358.13,75607.664,4964.1665,4973.3105,POLYGON ((-120.8969536277938 38.79614869656826, -120.89436120444691 38.79711701096639, -120.88793841825458 38.786349555223254, -120.89055173554793 38.78541691774383, -120.8969536277938 38.79614869656826))
5,2012-04-22T14:50:25Z,3.515625,-4.5,64.50073,75607.664,75857.19,4981.7153,4990.8594,POLYGON ((-120.89436120444691 38.79711701096639, -120.89176871138588 38.79808526816572, -120.88532503328489 38.787282134573516, -120.88793841825458 38.786349555223254, -120.89436120444691 38.79711701096639))
